frame_idx,timestamp,status,object_class,distance,roi_coverage
129,1744996700.7585135,WARNING,motorcycle,9.16,0.000
130,1744996710.2351542,WARNING,motorcycle,7.23,0.006
130,1744996710.2351542,WARNING,person,7.20,0.000
130,1744996710.2351542,WARNING,motorcycle,4.06,0.000
130,1744996710.2351542,WARNING,motorcycle,8.91,0.020
130,1744996710.2351542,WARNING,motorcycle,3.95,0.000
130,1744996710.2351542,WARNING,motorcycle,8.14,0.000
130,1744996710.2351542,WARNING,motorcycle,9.06,0.017
130,1744996710.2351542,WARNING,motorcycle,7.33,0.000
131,1744996720.030895,WARNING,person,6.86,0.000
131,1744996720.030895,WARNING,motorcycle,6.65,0.000
131,1744996720.030895,WARNING,motorcycle,8.47,0.024
131,1744996720.030895,WARNING,motorcycle,6.90,0.000
131,1744996720.030895,WARNING,motorcycle,4.40,0.000
131,1744996720.030895,WARNING,motorcycle,8.34,0.010
131,1744996720.030895,WARNING,motorcycle,5.51,0.000
131,1744996720.030895,WARNING,motorcycle,8.33,0.000
132,1744996729.4410477,WARNING,person,7.21,0.000
132,1744996729.4410477,WARNING,motorcycle,6.23,0.000
132,1744996729.4410477,WARNING,motorcycle,7.89,0.024
132,1744996729.4410477,WARNING,motorcycle,4.40,0.000
132,1744996729.4410477,WARNING,motorcycle,8.16,0.000
132,1744996729.4410477,WARNING,motorcycle,7.89,0.003
132,1744996729.4410477,WARNING,motorcycle,4.71,0.000
133,1744996737.5817509,WARNING,person,7.13,0.000
133,1744996737.5817509,WARNING,motorcycle,4.94,0.000
133,1744996737.5817509,WARNING,motorcycle,7.32,0.020
133,1744996737.5817509,WARNING,motorcycle,7.73,0.000
133,1744996737.5817509,WARNING,motorcycle,7.30,0.010
133,1744996737.5817509,WARNING,motorcycle,4.29,0.000
133,1744996737.5817509,WARNING,motorcycle,5.80,0.000
134,1744996746.8114974,WARNING,person,6.90,0.000
134,1744996746.8114974,WARNING,motorcycle,7.15,0.011
134,1744996746.8114974,WARNING,motorcycle,5.57,0.004
134,1744996746.8114974,WARNING,motorcycle,7.61,0.000
134,1744996746.8114974,WARNING,motorcycle,7.06,0.010
134,1744996746.8114974,WARNING,motorcycle,7.42,0.006
134,1744996746.8114974,WARNING,motorcycle,4.05,0.000
134,1744996746.8114974,WARNING,motorcycle,8.17,0.007
135,1744996754.9508665,WARNING,person,7.30,0.000
135,1744996754.9508665,WARNING,motorcycle,6.48,0.013
135,1744996754.9508665,WARNING,motorcycle,4.63,0.000
135,1744996754.9508665,WARNING,motorcycle,7.39,0.000
135,1744996754.9508665,WARNING,motorcycle,7.43,0.000
135,1744996754.9508665,WARNING,motorcycle,6.45,0.011
136,1744996764.839641,WARNING,person,7.36,0.000
136,1744996764.839641,WARNING,motorcycle,6.02,0.004
136,1744996764.839641,WARNING,motorcycle,8.94,0.000
136,1744996764.839641,WARNING,motorcycle,4.71,0.004
136,1744996764.839641,WARNING,motorcycle,6.02,0.000
136,1744996764.839641,WARNING,motorcycle,4.70,0.000
137,1744996774.491549,WARNING,person,7.56,0.000
137,1744996774.491549,WARNING,motorcycle,4.51,0.000
137,1744996774.491549,WARNING,motorcycle,6.48,0.000
138,1744996783.9540603,WARNING,person,5.30,0.000
138,1744996783.9540603,WARNING,motorcycle,4.86,0.000
138,1744996783.9540603,WARNING,motorcycle,6.84,0.000
138,1744996783.9540603,WARNING,motorcycle,5.46,0.000
138,1744996783.9540603,WARNING,motorcycle,7.48,0.000
138,1744996783.9540603,WARNING,motorcycle,5.72,0.000
139,1744996793.4457867,WARNING,person,6.50,0.011
139,1744996793.4457867,WARNING,motorcycle,4.97,0.000
139,1744996793.4457867,WARNING,motorcycle,9.35,0.000
139,1744996793.4457867,WARNING,motorcycle,5.22,0.000
139,1744996793.4457867,WARNING,motorcycle,5.49,0.000
139,1744996793.4457867,WARNING,motorcycle,5.44,0.000
139,1744996793.4457867,WARNING,motorcycle,6.40,0.000
140,1744996802.3879938,WARNING,person,7.64,0.000
